body,label,lref,lmax,eps
moon,Lunar geoid (GRGM1200B),360,0,1.0
moon,Lunar geoid (GRGM1200B),360,1,1.0
moon,Lunar geoid (GRGM1200B),360,2,0.4760015829326444
moon,Lunar geoid (GRGM1200B),360,3,0.3706806534008445
moon,Lunar geoid (GRGM1200B),360,4,0.3270694472963078
moon,Lunar geoid (GRGM1200B),360,5,0.3095198265536826
moon,Lunar geoid (GRGM1200B),360,6,0.27223746930966014
moon,Lunar geoid (GRGM1200B),360,7,0.25548652184279963
moon,Lunar geoid (GRGM1200B),360,8,0.24310700132577637
moon,Lunar geoid (GRGM1200B),360,9,0.22713673416484556
moon,Lunar geoid (GRGM1200B),360,10,0.2110043259989188
moon,Lunar geoid (GRGM1200B),360,11,0.1966935421723125
moon,Lunar geoid (GRGM1200B),360,12,0.18461526255873148
moon,Lunar geoid (GRGM1200B),360,13,0.17512506411492376
moon,Lunar geoid (GRGM1200B),360,14,0.16782856833961834
moon,Lunar geoid (GRGM1200B),360,15,0.16119608837118743
moon,Lunar geoid (GRGM1200B),360,16,0.15750892043882828
moon,Lunar geoid (GRGM1200B),360,17,0.15147334490382333
moon,Lunar geoid (GRGM1200B),360,18,0.1460621470601136
moon,Lunar geoid (GRGM1200B),360,19,0.13950833457293768
moon,Lunar geoid (GRGM1200B),360,20,0.13617941074016884
moon,Lunar geoid (GRGM1200B),360,21,0.12935981654907272
moon,Lunar geoid (GRGM1200B),360,22,0.12609777302583053
moon,Lunar geoid (GRGM1200B),360,23,0.12244070839048883
moon,Lunar geoid (GRGM1200B),360,24,0.11857610443625911
moon,Lunar geoid (GRGM1200B),360,25,0.11410610432043454
moon,Lunar geoid (GRGM1200B),360,26,0.11116221274038521
moon,Lunar geoid (GRGM1200B),360,27,0.10703993066127716
moon,Lunar geoid (GRGM1200B),360,28,0.10335738107784524
moon,Lunar geoid (GRGM1200B),360,29,0.10090157039964541
moon,Lunar geoid (GRGM1200B),360,30,0.09888667645561797
moon,Lunar geoid (GRGM1200B),360,31,0.09604756910082829
moon,Lunar geoid (GRGM1200B),360,32,0.09389492978253075
moon,Lunar geoid (GRGM1200B),360,33,0.09105243922463395
moon,Lunar geoid (GRGM1200B),360,34,0.08914074716742633
moon,Lunar geoid (GRGM1200B),360,35,0.08663817154006997
moon,Lunar geoid (GRGM1200B),360,36,0.08423936592717642
moon,Lunar geoid (GRGM1200B),360,37,0.08167339963454254
moon,Lunar geoid (GRGM1200B),360,38,0.07993881916813601
moon,Lunar geoid (GRGM1200B),360,39,0.0778647786552339
moon,Lunar geoid (GRGM1200B),360,40,0.07630976010950002
moon,Lunar geoid (GRGM1200B),360,41,0.07485496479298372
moon,Lunar geoid (GRGM1200B),360,42,0.0733628676537601
moon,Lunar geoid (GRGM1200B),360,43,0.07152584525515439
moon,Lunar geoid (GRGM1200B),360,44,0.06990780751983816
moon,Lunar geoid (GRGM1200B),360,45,0.0686572172121736
moon,Lunar geoid (GRGM1200B),360,46,0.06706884626740627
moon,Lunar geoid (GRGM1200B),360,47,0.06586658735037557
moon,Lunar geoid (GRGM1200B),360,48,0.06471311505038715
moon,Lunar geoid (GRGM1200B),360,49,0.06347767448285398
moon,Lunar geoid (GRGM1200B),360,50,0.0623048901861418
moon,Lunar geoid (GRGM1200B),360,51,0.060897559850970694
moon,Lunar geoid (GRGM1200B),360,52,0.05980680264873769
moon,Lunar geoid (GRGM1200B),360,53,0.058750200133207545
moon,Lunar geoid (GRGM1200B),360,54,0.0575194994356115
moon,Lunar geoid (GRGM1200B),360,55,0.05625547123765101
moon,Lunar geoid (GRGM1200B),360,56,0.05510476355106238
moon,Lunar geoid (GRGM1200B),360,57,0.05413395084436701
moon,Lunar geoid (GRGM1200B),360,58,0.05306672667088977
moon,Lunar geoid (GRGM1200B),360,59,0.051867198664526055
moon,Lunar geoid (GRGM1200B),360,60,0.05096530176477449
moon,Lunar geoid (GRGM1200B),360,61,0.04993968317777446
moon,Lunar geoid (GRGM1200B),360,62,0.04917588877094836
moon,Lunar geoid (GRGM1200B),360,63,0.048493971936273736
moon,Lunar geoid (GRGM1200B),360,64,0.04765375225913372
moon,Lunar geoid (GRGM1200B),360,65,0.04681739841152395
moon,Lunar geoid (GRGM1200B),360,66,0.04604208946591207
moon,Lunar geoid (GRGM1200B),360,67,0.045126919468496014
moon,Lunar geoid (GRGM1200B),360,68,0.04435203922877217
moon,Lunar geoid (GRGM1200B),360,69,0.04345566063367152
moon,Lunar geoid (GRGM1200B),360,70,0.04268397138019323
moon,Lunar geoid (GRGM1200B),360,71,0.04210086478877826
moon,Lunar geoid (GRGM1200B),360,72,0.04143652664208788
moon,Lunar geoid (GRGM1200B),360,73,0.0407534065667089
moon,Lunar geoid (GRGM1200B),360,74,0.04021352594358406
moon,Lunar geoid (GRGM1200B),360,75,0.039588745908024255
moon,Lunar geoid (GRGM1200B),360,76,0.038987552705355054
moon,Lunar geoid (GRGM1200B),360,77,0.038290553956407944
moon,Lunar geoid (GRGM1200B),360,78,0.0376932543235363
moon,Lunar geoid (GRGM1200B),360,79,0.03710518308105617
moon,Lunar geoid (GRGM1200B),360,80,0.03654119919538235
moon,Lunar geoid (GRGM1200B),360,81,0.03596972550958615
moon,Lunar geoid (GRGM1200B),360,82,0.03544462461049348
moon,Lunar geoid (GRGM1200B),360,83,0.0349520808149368
moon,Lunar geoid (GRGM1200B),360,84,0.03445045678013361
